"filename", "language", "XML", "SQL", "JavaScript", "Markdown", "HTML", "Vue", "YAML", "Java", "SCSS", "JSON", "Shell Script", "Properties", "Batch", "Docker", "comment", "blank", "total"
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-link\src\main\java\com\mqttsnet\thinglinks\link\api\factory\RemoteDeviceDatasFallbackFactory.java", "Java", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 5, 32
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-link\src\main\java\com\mqttsnet\thinglinks\link\api\factory\RemoteDeviceFallbackFactory.java", "Java", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 5, 6, 39
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-link\src\main\java\com\mqttsnet\thinglinks\link\api\factory\RemoteDeviceInfoFallbackFactory.java", "Java", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 10, 5, 36
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-link\src\main\java\com\mqttsnet\thinglinks\link\api\factory\RemoteProductFallbackFactory.java", "Java", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 7, 6, 34
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-link\src\main\java\com\mqttsnet\thinglinks\link\api\factory\RemoteProtocolFallbackFactory.java", "Java", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 8, 6, 35
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-link\src\main\java\com\mqttsnet\thinglinks\link\api\linkUtils.java", "Java", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 11, 3, 23
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-monitor\pom.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 27
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-monitor\src\main\java\com\mqttsnet\thinglinks\monitor\api\domain\AppInfo.java", "Java", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 13, 45
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-monitor\src\main\java\com\mqttsnet\thinglinks\monitor\api\domain\AppState.java", "Java", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 11, 44
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-monitor\src\main\java\com\mqttsnet\thinglinks\monitor\api\domain\BaseEntity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 4, 15, 53
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-monitor\src\main\java\com\mqttsnet\thinglinks\monitor\api\domain\CpuState.java", "Java", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 6, 14, 55
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-monitor\src\main\java\com\mqttsnet\thinglinks\monitor\api\domain\DashboardView.java", "Java", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 9, 34
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-monitor\src\main\java\com\mqttsnet\thinglinks\monitor\api\domain\DeskState.java", "Java", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 6, 14, 53
